,genre,occurence
1073,musical advocacy,2
647,german indie,2
338,comic,2
1707,uk americana,2
630,gabba,2
1719,uk pop punk,2
1175,old school atlanta hip hop,2
1059,musica canaria,2
268,chinese melodic rap,2
1179,old school thrash,2
625,future garage,2
269,chinese minyao,2
1435,russian ska,2
340,concurso de talentos argentino,2
87,australian reggae fusion,2
1040,modern funk,2
1039,modern folk rock,2
1194,p-pop,2
1155,nu jazz,2
1154,nu disco,2
1081,nantes indie,2
1082,narco rap,2
118,baroque pop,2
123,bassline,2
116,barnsagor,2
115,barnmusik,2
694,guaracha,2
113,barnalog,2
1100,new americana,2
127,battle rap,2
331,cloud rap francais,2
129,bboy,2
700,hands up,2
1693,turkish psych,2
130,beatboxing,2
380,czech alternative rap,2
1092,neo-classical,2
670,glasgow indie,2
1534,spanish indie pop,2
705,hardcore techno,2
1086,nederpop,2
664,ghanaian alternative,2
108,baltic post-punk,2
1667,trondersk musikk,2
657,german soundtrack,2
107,baltic folk,2
1149,nottingham indie,2
615,funk metal,2
729,horror punk,2
1462,scottish indie rock,2
321,classic thai pop,2
1630,thrash metal,2
181,brisbane indie,2
753,igbo pop,2
1721,uk tech house,2
578,florida drill,2
349,country dawn,2
575,flamenco guitar,2
185,britpop,2
1234,piratenmuziek,2
1727,ukrainian folk rock,2
1018,mexican classic rock,2
83,australian indigenous,2
1633,toronto indie,2
568,finnish post-punk,2
82,australian indie rock,2
351,country rap,2
353,country rock,2
1011,meme rap,2
1245,polish alternative rock,2
81,australian indie folk,2
192,bubblegrunge,2
194,bubblegum pop,2
1115,nice indie,2
768,indie hip hop,2
1223,pinoy alternative rap,2
671,glitchcore,2
346,corridos alternativos,2
1205,palestinian alternative,2
1207,palestinian pop,2
1428,russian pop punk,2
1208,palestinian traditional,2
1638,transpop,2
596,freeform hardcore,2
1028,middle east hip hop,2
589,folklore paraguayo,2
1215,persian hip hop,2
1206,palestinian hip hop,2
1429,russian post-punk,2
1030,minimal tech house,2
176,breaks,2
1426,russian metal,2
605,french synthpop,2
1506,smooth jazz,1
1521,south african gospel,1
1520,south african deep house,1
1540,spanish synthpop,1
276,christian pop,1
1519,south african choral,1
1512,son cubano,1
1551,sung poetry,1
256,chilean rock,1
1535,spanish new wave,1
275,christian music,1
278,chutney,1
280,city pop,1
1543,spirituals,1
1547,streektaal,1
273,choral,1
257,chill baile,1
267,chinese jazz,1
266,chinese indie rock,1
1531,southern soul,1
1516,soulful house,1
1532,sovietwave,1
274,christian alternative rock,1
262,chinese drama ost,1
1524,south african jazz,1
1536,spanish noise pop,1
885,kansas city hip hop,1
255,chilean indie,1
47,arab electronic,1
1746,vancouver indie,1
53,arabic jazz,1
59,armenian folk,1
67,assamese pop,1
70,atlanta bass,1
1736,uppsala indie,1
79,australian house,1
85,australian psych,1
1726,ukrainian folk pop,1
1725,ukrainian edm,1
1724,ukrainian classical,1
1723,ukrainian alternative rock,1
1720,uk reggae,1
1717,uk metalcore,1
88,australian rock,1
91,austrian hip hop,1
92,austrian indie,1
101,baglama,1
102,balearic,1
1704,uae indie,1
1703,twee pop,1
1702,tvog,1
1701,turntablism,1
103,balkan beats,1
1698,turkish soundtrack,1
48,arab folk,1
1752,vegas indie,1
254,chilean hardcore,1
1753,venda pop,1
1800,zouk riddim,1
1799,zouglou,1
2,acoustic chill,1
3,acoustic cover,1
1796,yodeling,1
1794,ye ye,1
1791,worship,1
8,afghan pop,1
10,african electronic,1
1785,waiata maori,1
14,afro drill,1
1780,vocal harmony group,1
22,ai,1
1772,viral pop brasileiro,1
1770,violin,1
1769,violao,1
1768,vintage tollywood,1
1767,vintage swedish pop,1
1766,viking folk,1
26,alberta hip hop,1
29,alt-idol,1
1763,vietnamese pop,1
31,alternative country,1
35,alternative pop rock,1
1760,vietnamese bolero,1
1695,turkish reggae,1
1694,turkish punk,1
111,bangladeshi hip hop,1
117,baroque,1
1611,telugu indie,1
1610,telugu folk,1
204,cameroonian pop,1
1606,tatar pop,1
206,canadian country,1
209,canadian folk,1
211,canadian indie,1
213,canadian old school hip hop,1
218,cancion melodica,1
223,cape town indie,1
1586,swiss pop,1
226,carnaval limburg,1
1583,swing,1
227,cartoon,1
228,ccm,1
232,celtic punk,1
235,chaabi marocain,1
237,chamber pop,1
239,channel islands indie,1
242,chanson humoristique,1
246,chicago house,1
1565,swedish folk pop,1
250,chicha,1
1556,surf punk,1
1555,super eurobeat,1
197,bulgarian indie,1
195,bulgarian electronic,1
1622,thai instrumental,1
156,birmingham metal,1
128,bayerischer rap,1
1673,trova,1
1671,tropicalia,1
1665,trinibad,1
1664,tribal house,1
138,belgian dnb,1
146,belo horizonte indie,1
148,bergen indie,1
149,bernu dziesmas,1
151,big beat,1
155,birmingham indie,1
157,bisaya rap,1
189,brooklyn indie,1
163,bornesange,1
1505,slow game,1
167,boston indie,1
170,brazilian bass,1
173,brazilian house,1
174,brazilian reggae,1
1635,traditional country,1
179,brighton indie,1
1631,tin pan alley,1
183,british singer-songwriter,1
187,bronx hip hop,1
165,bossbeat,1
424,dark disco,1
287,classic city pop,1
1056,mumbai indie,1
1064,musica costena,1
1065,musica llanera,1
1067,musica nicaraguense,1
708,harlem hip hop,1
1069,musica portuguesa contemporanea,1
1071,musica tradicional cubana,1
1076,musique mahoraise,1
1078,muzica moldoveneasca,1
1080,naija worship,1
1083,narodna muzika,1
1084,ndombolo,1
706,hardstyle,1
1088,neo classical metal,1
1090,neo r&b,1
1093,neo-psychedelic,1
1063,musica costarricense,1
712,high vibe,1
1498,slovak electronic,1
719,historically informed performance,1
752,idol kayo,1
751,idol,1
1026,microtonal,1
1027,middle earth,1
748,icelandic punk,1
747,icelandic post-punk,1
745,icelandic jazz,1
740,icelandic classical,1
1041,modern hard rock,1
723,hokkien pop,1
1046,moderne ludovky,1
1048,mollywood,1
720,hjemmesnekk,1
1050,morelos indie,1
1051,morna,1
1096,neon pop punk,1
699,hamburg indie,1
1098,nerdcore brasileiro,1
697,gypsy punk,1
667,ghazal,1
1142,norwegian jazz,1
660,german trance,1
658,german tech house,1
1152,nova musica paulista,1
1153,nova musica pernambucana,1
1158,nueva cancion,1
648,german indie folk,1
1163,nz dnb,1
1164,nz folk,1
1165,nz gangsta rap,1
641,german baroque,1
1169,nz singer-songwriter,1
633,gambian hip hop,1
632,galician folk,1
1140,norwegian house,1
1136,norwegian contemporary jazz,1
1135,norwegian alternative rock,1
1120,noise pop,1
1101,new beat,1
1102,new delhi indie,1
691,grunge,1
1111,new wave of glam metal,1
689,grime brasileiro,1
1118,nightcore,1
1123,nordic soundtrack,1
1134,northern soul,1
676,gotlandsk musik,1
1127,norsk lovsang,1
1130,norteno-sax,1
673,gospel singers,1
1132,north east england indie,1
672,gnawa,1
1019,mexican edm,1
755,indian electronic,1
1016,metalcore,1
952,light music,1
865,japanese vtuber,1
864,japanese viral pop,1
861,japanese ska,1
921,kurdish pop,1
922,kwaito,1
856,japanese garage rock,1
930,lata,1
935,latin house,1
936,latin jazz,1
845,j-punk,1
941,latintronica,1
942,latvian folk,1
833,italian tenor,1
832,italian tech house,1
830,italian progressive rock,1
912,korean mask singer,1
911,korean electropop,1
910,korean electronic,1
896,keroncong,1
883,k-rock,1
881,k-pop reality show,1
875,jumpstyle,1
874,jump up,1
894,kenyan drill,1
895,kenyan hip hop,1
872,jordanian pop,1
909,korean city pop,1
870,jazz trio,1
899,kindermusik,1
1,abstract beats,1
868,jazz boom bap,1
906,kodomo no ongaku,1
908,kora,1
951,libyan hip hop,1
954,liquid funk,1
1015,metal guitar,1
809,irish folk,1
990,maltese pop,1
991,maluku pop,1
993,man's orchestra,1
995,mande pop,1
776,indie rockism,1
998,manguebeat,1
1001,melanesian pop,1
767,indie garage rock,1
764,indie curitibano,1
761,indian rock,1
1006,melodic dubstep,1
1007,melodic hard rock,1
1008,melodic metalcore,1
760,indian lo-fi,1
756,indian folk,1
989,malaysian tamil pop,1
782,indiecoustica,1
984,malayalam hip hop,1
971,luk thung,1
962,lo-fi beats,1
964,lo-fi cover,1
965,lo-fi indie,1
966,lo-fi jazzhop,1
967,lo-fi product,1
805,indy indie,1
801,indonesian viral pop,1
786,indonesian emo rap,1
975,macedonian pop,1
977,magyar mulatos,1
978,magyar retro dance,1
792,indonesian indie pop,1
790,indonesian idol pop,1
982,malang indie,1
1176,old school dancehall,1
1177,old school hip hop,1
627,futuristic swag,1
365,cumbia amazonica,1
402,dancehall chileno,1
397,dalarna indie,1
1381,relaxative,1
1382,rhode island rap,1
389,czech singer-songwriter,1
384,czech metal,1
1387,rock alternatif francais,1
1391,rock nica,1
1392,rock uruguayo,1
1397,rogaland indie,1
378,cypriot hip hop,1
377,cyber metal,1
374,cumbia sonidera,1
373,cumbia santafesina,1
1408,rumba congolaise,1
1374,reggae maghreb,1
406,dangdut remix,1
411,danish indie pop,1
884,kabyle,1
431,deep breakcore,1
430,deep adult standards,1
429,deconstructed club,1
426,dark synthpop,1
1340,rap femenino mexicano,1
1341,rap feminino nacional,1
1344,rap guineen,1
412,danish metal,1
422,dark cabaret,1
1357,rap pernambucano,1
1360,rap romantico,1
417,danish singer-songwriter,1
1363,rap tico,1
1368,rap underground espanol,1
1409,rune folk,1
361,cuban alternative,1
436,deep german indie,1
359,crust punk,1
1468,semarang indie,1
319,classic soul,1
318,classic sierreno,1
317,classic schlager,1
310,classic opm,1
309,classic nz pop,1
307,classic moroccan pop,1
1482,shred,1
304,classic korean pop,1
303,classic kollywood,1
1490,sinhala pop,1
1492,ska jazz,1
293,classic girl group,1
1496,sleaze rock,1
1497,sleep,1
1466,scouse rap,1
1465,scottish techno,1
1464,scottish singer-songwriter,1
328,classical performance,1
356,croatian pop,1
355,cowboy western,1
1424,russian indie,1
344,contemporary vocal jazz,1
1442,sacramento hip hop,1
329,classical tenor,1
1450,salsa puertorriquena,1
1463,scottish rock,1
1453,samba,1
327,classical organ,1
1456,san diego rap,1
326,classical bass,1
325,classical,1
322,classic turkish pop,1
433,deep flow,1
443,deep soul house,1
1184,orchestral performance,1
1253,polish synthpop,1
584,folk punk,1
1222,pink noise,1
582,folk,1
581,folclor afrocolombiano,1
1227,pinoy indie rock,1
580,fnaf,1
577,flemish folk,1
574,flamenco fusion,1
1241,png pop,1
1242,poezja spiewana,1
561,finnish hard rock,1
560,finnish folk,1
559,finnish edm,1
556,finnish choir,1
1251,polish reggae,1
586,folk rock italiano,1
1218,peruvian hip hop,1
1217,perth indie,1
623,funky tech house,1
624,future bass,1
1187,oslo indie,1
1188,otacore,1
1189,ottawa rap,1
1191,outlaw country,1
1193,p funk,1
622,funky house,1
590,folklore uruguayo,1
614,funk melody,1
604,french shoegaze,1
602,french reggae,1
1204,pakistani rock,1
1210,paraguayan indie,1
597,fremantle indie,1
1252,polish rock,1
550,faroese pop,1
445,deep tech house,1
549,faroese indie,1
486,dutch blues,1
484,dusseldorf electronic,1
1299,psychokore,1
1300,puerto rican indie,1
483,dubstep,1
1302,puerto rican rock,1
1305,punk,1
1306,punk blues,1
472,dreamo,1
471,dream trance,1
468,drama,1
467,draga,1
1317,rai algerien,1
457,devon indie,1
450,desert blues,1
501,early music,1
1293,post-romantic era,1
1290,portuguese rock,1
530,epa dunk,1
1256,political hip hop,1
1258,pony,1
548,fake,1
547,fado,1
1261,pop catracho,1
546,experimental rock,1
1275,pop quebecois,1
504,eau claire indie,1
520,electrofox,1
518,electro swing,1
515,electro bailando,1
508,edmonton indie,1
1285,pop violin,1
505,ectofolk,1
0,a cappella,1
