,genre,occurence
1418,russian emo rap,47
1005,melodic drill,46
364,cumbia 420,46
1129,norteno,46
342,contemporary country,46
932,latin alternative,46
957,lithuanian hip hop,46
190,brostep,46
1593,taiwan hip hop,45
750,icelandic singer-songwriter,45
1621,thai indie rock,45
1762,vietnamese melodic rap,45
1195,pacific islands pop,45
724,hollywood,45
1168,nz reggae,45
892,kazakh pop,45
1201,pakistani hip hop,45
1595,taiwan indie,45
1295,previa,44
348,country,44
611,funk consciente,44
741,icelandic electronic,44
265,chinese indie,44
928,laiko,44
109,banda,43
997,manele,43
1653,trap maroc,43
290,classic danish pop,42
63,arrochadeira,42
521,electronic trap,42
270,chinese r&b,42
1139,norwegian hip hop,42
844,j-poprock,42
478,drill espanol,42
1303,punjabi hip hop,41
1476,sheilat,41
453,desi trap,41
1500,slovak pop,41
491,dutch house,41
1649,trap dominicano,41
1224,pinoy hip hop,41
97,azonto,41
1486,singaporean pop,40
396,dakke dak,40
1749,vapor trap,40
968,london rap,40
1216,persian pop,40
1575,swedish reggae,40
662,german underground rap,39
438,deep house,39
916,korean r&b,39
459,dirty south rap,39
1318,ranchera,38
1485,singaporean mandopop,38
800,indonesian singer-songwriter,38
981,mainland chinese pop,38
172,brazilian hip hop,37
897,khaleeji iraqi,37
1091,neo soul,37
347,corridos tumbados,37
783,indietronica,37
919,kosovan pop,37
749,icelandic rock,37
713,hindi hip hop,37
1592,tagalog rap,37
961,lithuanian trap,36
668,girl group,36
394,czsk viral pop,36
769,indie liguria,36
301,classic italian pop,35
1320,rap algerien,35
1213,permanent wave,35
811,irish pop,35
1708,uk contemporary r&b,35
432,deep euro house,34
1685,turkish deep house,34
1650,trap funk,34
1270,pop lgbtq+ brasileira,34
1373,reggae fusion,34
502,east coast hip hop,34
1243,polish alternative,33
1281,pop soul,33
939,latin talent show,33
1219,philly rap,33
1196,pagode,33
1328,rap canario,32
203,cali rap,32
362,cubaton,32
915,korean pop,32
78,australian hip hop,31
1221,piano rock,31
1420,russian gangster rap,31
1658,trap soul,31
177,brega funk,31
1657,trap queen,31
105,balkan trap,31
860,japanese singer-songwriter,29
437,deep groove house,29
45,antilliaanse rap,29
188,brooklyn drill,29
1087,nederreggae,29
1336,rap criolo,28
234,central asian hip hop,28
1554,suomirap,28
1202,pakistani indie,28
599,french indie pop,28
793,indonesian jazz,28
1119,ninja,28
299,classic iskelma,28
1533,spanish hip hop,28
1474,shaabi,28
352,country road,28
1035,modern alternative rock,28
219,candy pop,28
6,adult standards,28
509,egyptian alternative,28
217,canadian trap,28
184,british soul,28
1732,ukrainian rock,28
1636,trance,27
538,etherpop,27
999,mariachi,27
476,drill chileno,27
339,complextro,27
134,belarusian hip hop,27
137,belgian dance,27
791,indonesian indie,26
770,indie pop,26
938,latin rock,26
1004,mellow gold,26
313,classic rock,26
25,albanian pop,26
1640,trap antillais,26
943,latvian hip hop,26
1458,scandinavian r&b,26
1421,russian grime,26
1733,ukrainian viral pop,26
1487,singaporean singer-songwriter,25
631,gaita zuliana,25
1103,new french touch,25
1106,new orleans rap,25
125,batidao romantico,25
1286,pop virale italiano,25
829,italian pop rock,25
1538,spanish pop rock,25
80,australian indie,25
1278,pop rap brasileiro,24
1550,sufi,24
925,la pop,24
950,lgbtq+ hip hop,24
408,danish electronic,24
324,classic venezuelan pop,24
608,funk 150 bpm,24
759,indian instrumental,23
73,aussietronica,23
1312,r&b brasileiro,23
466,downtempo,23
1385,rkt,23
1523,south african house,23
277,christlicher rap,23
1509,soft rock,23
77,australian electropop,23
742,icelandic folk,23
1003,melbourne bounce international,23
836,j-acoustic,23
1012,memphis hip hop,23
1697,turkish singer-songwriter,23
821,israeli trap,22
1626,thai teen pop,22
1045,modern salsa,22
1605,tamil pop,22
238,champeta,22
1713,uk funky,22
1710,uk dancehall,22
775,indie rock italiano,22
1068,musica popular colombiana,22
145,belly dance,22
709,haryanvi pop,22
447,deep turkish pop,22
1441,russian viral rap,22
1744,vallenato,22
112,barbadian pop,22
558,finnish drill,21
1561,swedish dancehall,21
376,cumbia villera,21
771,indie pop rap,21
1255,polish viral rap,21
1229,pinoy r&b,21
579,florida rap,21
1311,r&b argentino,21
554,filter house,21
640,german alternative rap,21
260,chill r&b,21
1269,pop house,21
983,malay rap,21
308,classic norwegian pop,20
119,bases de freestyle,20
969,lounge,20
446,deep tropical house,20
1604,tamil hip hop,20
271,chinese singer-songwriter,20
121,bass trap,20
540,eurodance,19
1625,thai rock,19
1393,rock viet,19
1684,turkish alternative rock,19
393,czsk reggae,19
57,argentine rock,19
1728,ukrainian hip hop,19
1327,rap calme,19
1321,rap angolano,19
1161,nyc rap,19
1578,swedish synthpop,19
480,drill italiana,19
628,g funk,19
1240,pluggnb,19
1151,nova mpb,19
1765,vietnamese trap,19
1754,venezuelan hip hop,19
132,bedroom pop,19
639,gen z singer-songwriter,19
638,gauze pop,18
592,forro de favela,18
414,danish pop rock,18
482,drum and bass,18
531,escape room,18
1751,variete francaise,18
696,gulf hip hop,18
1133,north moroccan rap,18
570,finnish reggae,18
27,album rock,18
871,jewish pop,18
272,chinese viral pop,18
461,disco house,18
514,electro,18
1231,pinoy rock,18
400,dancefloor dnb,18
147,bergamo indie,18
669,glam rock,17
987,malaysian mandopop,17
901,kizomba,17
51,arabesk,17
334,colombian hip hop,17
1798,zhongguo feng,17
1370,rave funk,17
1545,stomp and holler,17
302,classic j-pop,17
1481,show tunes,17
1522,south african hip hop,16
918,korean underground rap,16
1642,trap baiano,16
629,g-house,16
1661,trap venezolano,16
32,alternative dance,16
695,gujarati pop,16
1010,melodipop,16
609,funk bh,16
798,indonesian r&b,16
95,axe,16
72,aussie drill,16
1339,rap espanol,16
1678,turkce kadin rap,16
1446,salsa,16
1097,neoperreo,16
1467,seattle hip hop,16
281,classic arab pop,16
659,german techno,16
665,ghanaian hip hop,16
707,hare krishna,16
291,classic finnish pop,16
220,cantautor,15
1268,pop flamenco,15
1508,social media pop,15
613,funk mandelao,15
612,funk das antigas,15
732,hungarian edm,15
1564,swedish eurodance,15
725,hong kong hip hop,15
1146,norwegian singer-songwriter,15
758,indian indie,15
65,art rock,15
1672,trot,15
1273,pop peruano,15
1249,polish indie,15
36,alternative r&b,15
30,alte,15
849,jamaican dancehall,15
1235,piseiro,15
363,cumbia,14
1571,swedish indie rock,14
869,jazz pop,14
388,czech rock,14
976,magyar alternative,14
1675,turbo folk,14
994,manchester hip hop,14
1417,russian electronic,14
1124,nordnorsk musikk,14
354,covertronica,14
1020,mexican hip hop,14
1712,uk drill,14
731,houston rap,14
34,alternative metal,14
1645,trap carioca,14
1797,zhenskiy rep,14
1793,yakut pop,14
1002,melbourne bounce,14
1722,ukg revival,14
567,finnish pop punk,14
1646,trap catala,13
1781,vocal house,13
1170,oakland hip hop,13
1147,norwegian trap,13
852,japanese alternative rock,13
656,german singer-songwriter,13
200,bulgarian rock,13
986,malaysian indie,13
788,indonesian folk pop,13
