,track_id,acousticness,danceability,duration_ms,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2282,5yrNes1JBTpzkbMOFTDNwF,0.447,0.897,169213,3.21e-06,2,0.559,0.362,-9.323,1,0.221,88.944,4,0.746
2283,1PLekMr5mC9sf0n37TWv5G,0.456,0.593,136286,0,6,0.476,0.359,-13.459,1,0.862,176.112,4,0.582
2284,4QwbxaTZ6E6dfgHArKHzMb,0.0812,0.859,192000,0,1,0.676,0.0709,-6.087,1,0.26,124.956,4,0.721
2285,7GuOjfD2btfoHsZMVy261f,0.593,0.638,203845,1.55e-06,8,0.45,0.111,-10.476,0,0.252,84.866,4,0.179
2286,31876LYPTkqUlFWQAEBxd6,0.263,0.663,176541,2.82e-05,2,0.551,0.466,-8.844,1,0.0866,140.001,4,0.691
2287,1IkEE9PQVeQ563gWfJ4moA,0.208,0.635,182363,0.000154,7,0.643,0.453,-8.492,0,0.155,159.952,4,0.642
2288,7A9EcBrwTG6bwswUy7beWW,0.74,0.278,184944,0,9,0.508,0.103,-7.072,0,0.0968,174.912,4,0.0409
2289,6DPh0sUSj2Ml4CL3iJJSn1,0.144,0.849,163256,6.92e-05,10,0.675,0.111,-6.787,0,0.214,171.988,4,0.455
2290,6qB0nU65hGzAVXx6zqePfO,0.244,0.586,232174,9.53e-06,8,0.832,0.332,-5.798,1,0.0557,183.891,4,0.274
2291,0WiQVffKlsnClBBKZ1K3Zj,0.315,0.822,215455,0,7,0.651,0.117,-4.987,1,0.0904,109.987,4,0.401
2292,4Os68ICIOhJVOPfl53TjBP,0.138,0.731,156195,2.29e-06,11,0.578,0.109,-5.059,1,0.167,79.997,4,0.608
2293,61nxuiKeEp0SQwOrTjMKBK,0.305,0.725,179251,0.000668,9,0.581,0.55,-6.733,0,0.181,102.009,4,0.695
2294,40NvsEFexANIROSnKIMYXB,0.756,0.546,308622,0,10,0.409,0.0764,-7.318,1,0.031,84.116,4,0.412
2295,2MBaZXaQ7VKmDTr7cPPHP4,0.789,0.417,286401,7.96e-05,0,0.455,0.189,-10.075,1,0.0286,142.128,4,0.51
2296,0kqTXMHiQiB7IECD0WwcPq,0.143,0.774,177467,0,3,0.905,0.332,-2.432,0,0.122,119.964,4,0.768
2297,5DHjpB2vk29BySgvGKq6IW,0.763,0.739,249552,2.26e-06,10,0.45,0.102,-10.189,1,0.0347,120.017,4,0.368
2298,1WzMnzTmdWbJZ3OhizMtbX,0.578,0.59,235257,0,11,0.513,0.093,-7.962,1,0.0283,129.909,4,0.52
2299,2i40AXmoYGkzzW3C3OUoG6,0.942,0.405,233368,0.000303,5,0.128,0.109,-17.609,1,0.0332,137.936,4,0.365
2300,1uowh5aqRJzGT1KowsSUmC,0.514,0.751,236129,0,6,0.709,0.0994,-8.794,0,0.347,124.176,4,0.439
2301,7jKvq8HTmWAvRCu8qq1Dc5,0.423,0.785,157768,0,3,0.324,0.124,-14.713,0,0.297,94.997,4,0.671
